LATITUDE; LONGITUDE; ADDRESS; ZIPCODE; ELEVATION
41.2196991;-8.5608657;Farmacia Sousa Torres;4000-000;0
41.2000276;-8.6661002;Farmacia Guifoes;4000-000;0
41.1604978;-8.643729;Farmacia Avenida;4000-000;0
41.1670239;-8.6118334;Farmacia sa;4000-000;0
41.161141;-8.5314053;Farmacia de Fanzeres;4000-000;0
41.1483509;-8.6079882;Farmacia Sa da Bandeira;4000-000;0
41.1260143;-8.6059455;Farmacia Couto;4000-000;0
41.197642;-8.4995863;Farmacia Marques da Cunha;4000-000;0
41.189932;-8.497875;Farmacia Central (Valongo);4000-000;0
41.2333905;-8.6215353;Centro Comercial Plaza;4000-000;0
41.1460067;-8.5949293;Centro Comercial Stop;4000-000;0
41.15455;-8.6191472;Centro Comercial de Cedofeita;4000-000;0
41.1575628;-8.627837;Shopping Brasilia - Associacao Comerciantes;4000-000;0
41.167775;-8.6301726;Centro Comercial do Carvalhido;4000-000;0
41.1823475;-8.6922944;Centro Comercial NewCity;4000-000;0
41.1845917;-8.6821122;centro comercial parque;4000-000;0
41.1534775;-8.6047492;Traditional Shopping Street;4000-000;0
41.2090041;-8.68733;MAR Shopping Matosinhos;4000-000;0
41.1808164;-8.6545763;Norte Shopping;4000-000;0
41.1637391;-8.5841843;Alameda ShopSport;4000-000;0
41.1479441;-8.6158318;Shop;4000-000;0
41.1436585;-8.6033817;Espiral Colossal;4000-000;0
41.1330849;-8.6081726;Praceta Salvador Caetano;4000-000;0
41.1414625;-8.6364535;Arrabida Shopping;4000-000;0
41.1899926;-8.4975864;Post Office Valongo;4000-000;0
41.2026113;-8.5449672;Centro de Distribuicao dos Correios de Ermesinde;4000-000;0
41.1925968;-8.5758935;Posto Correios Forno;4000-000;0
41.1711857;-8.5881815;Posto de Correios de Conde Ferreira;4000-000;0
41.1714565;-8.6128568;CTT;4000-000;0
41.1527558;-8.6310536;Correios CTT Campo Alegre;4000-000;0
41.1724915;-8.6549371;Pereiro PostOffice;4000-000;0
41.1539359;-8.5470428;Tecofix Porto;4000-000;0
41.1442816;-8.5752217;FISHISCO Pesca,Lda.;4000-000;0
